lr,Lr,rl,Rl,ll,Ll,rr,Rr,l,r,L,R,space,shift,cpm,is_bot
145.58333333333334,90.0,132.33333333333334,0.0,135.0,0.0,86.5,0.0,1.75,1.411764705882353,1.0,0.0,1.75,2.0,19.373454245671887,1
112.57142857142857,0.0,125.53846153846153,76.0,130.53846153846155,0.0,103.3,0.0,1.4814814814814814,1.5,0.0,1.0,1.0,2.0,20.272515785975408,1
105.4,0.0,117.35714285714286,0.0,158.5,209.0,122.11111111111111,0.0,1.68,1.4583333333333333,2.0,0.0,1.7777777777777777,2.0,19.6174595389897,1
114.46153846153847,0.0,137.83333333333334,147.0,147.86666666666667,135.0,101.8,0.0,1.6896551724137931,1.6666666666666667,1.0,1.0,1.7,1.0,19.291587602783046,1
110.75,132.0,125.2,121.0,125.0,124.66666666666667,172.75,0.0,1.4,1.5384615384615385,2.8,1.0,1.8571428571428572,4.0,19.488876631733774,1
116.375,65.0,143.88888888888889,85.0,113.3,0.0,119.25,103.0,1.4,1.7142857142857142,2.0,1.5,2.0,3.0,20.100502512562816,1
127.11111111111111,85.0,125.0,0.0,146.2,0.0,106.3,0.0,1.8421052631578947,1.15,1.0,0.0,1.875,2.0,20.07374027038099,1
122.4,71.0,120.5,0.0,150.54545454545453,0.0,112.77777777777777,0.0,1.4761904761904763,1.4,1.0,0.0,2.5555555555555554,2.0,20.108275328692965,1
111.3,0.0,127.44444444444444,0.0,116.06666666666666,72.0,147.25,0.0,1.16,1.6666666666666667,1.0,0.0,1.4444444444444444,2.0,20.551855375832538,1
113.92307692307692,0.0,112.16666666666667,0.0,125.9,87.0,122.72727272727273,91.0,1.2608695652173914,1.36,1.0,1.0,1.3,1.0,21.294865189764725,1
161.83333333333334,136.0,133.66666666666666,0.0,208.125,0.0,283.5,0.0,95.25,85.6470588235294,136.0,0.0,66.25,281.0,13.994342712520469,0
116.57142857142857,0.0,170.0,200.0,191.15384615384616,0.0,145.5,0.0,98.92592592592592,83.375,0.0,100.0,72.5,164.0,14.91442542787286,0
126.26666666666667,0.0,140.92857142857142,0.0,363.0,357.0,167.77777777777777,0.0,100.88,95.375,81.0,0.0,78.77777777777777,61.22222222222222,13.006740719643027,0
132.53846153846155,0.0,249.33333333333334,188.0,213.8125,220.0,197.6,0.0,107.73333333333333,96.05263157894737,119.0,74.0,81.8,191.0,9.846057669766353,0
324.6666666666667,102.0,211.16666666666666,169.0,173.14285714285714,370.0,543.2,0.0,108.08333333333333,95.26666666666667,107.8,106.0,91.57142857142857,254.625,9.359644333515327,0
109.625,270.0,215.22222222222223,203.0,150.1,0.0,111.25,175.0,108.55,101.85714285714286,122.0,79.0,72.5,200.0,14.536261652709749,0
154.33333333333334,104.0,178.88888888888889,0.0,322.5,0.0,169.0,0.0,110.23809523809524,106.35,122.0,0.0,75.125,175.0,11.518915866741954,0
162.0,365.0,133.6,0.0,229.1818181818182,0.0,149.66666666666666,0.0,114.28571428571429,100.95,139.0,0.0,83.22222222222223,287.0,13.913043478260871,0
233.25,0.0,160.54545454545453,0.0,225.8125,219.0,283.1111111111111,0.0,99.32142857142857,97.33333333333333,125.0,0.0,80.22222222222223,183.0,10.749798441279227,0
110.61538461538461,0.0,140.75,0.0,185.7,252.0,286.6666666666667,144.0,102.78260869565217,98.65384615384616,112.0,112.0,73.9,282.0,13.291139240506329,0
