uuid,sentence_id,key_event,key_code,key_char,alt_key,ctrl_key,shift_key,is_bot,timestamp
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,16,Shift,0,0,0,1,1621814291314.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,84,T,0,0,1,1,1621814291314.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,84,T,0,0,1,1,1621814291315.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,16,Shift,0,0,0,1,1621814291316.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,72,h,0,0,0,1,1621814291404.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,72,h,0,0,0,1,1621814291404.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,69,e,0,0,0,1,1621814291474.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,69,e,0,0,0,1,1621814291475.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,32, ,0,0,0,1,1621814291580.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,32, ,0,0,0,1,1621814291581.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,81,q,0,0,0,1,1621814291657.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,81,q,0,0,0,1,1621814291658.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,85,u,0,0,0,1,1621814291737.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,85,u,0,0,0,1,1621814291738.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,73,i,0,0,0,1,1621814291808.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,73,i,0,0,0,1,1621814291809.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,67,c,0,0,0,1,1621814291895.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,67,c,0,0,0,1,1621814291896.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,75,k,0,0,0,1,1621814292039.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,75,k,0,0,0,1,1621814292042.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,32, ,0,0,0,1,1621814292147.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,32, ,0,0,0,1,1621814292148.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,66,b,0,0,0,1,1621814292253.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,66,b,0,0,0,1,1621814292256.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,82,r,0,0,0,1,1621814292344.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,82,r,0,0,0,1,1621814292345.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,79,o,0,0,0,1,1621814292487.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,79,o,0,0,0,1,1621814292491.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,87,w,0,0,0,1,1621814292622.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,87,w,0,0,0,1,1621814292623.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,78,n,0,0,0,1,1621814292741.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,78,n,0,0,0,1,1621814292743.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,32, ,0,0,0,1,1621814292853.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,32, ,0,0,0,1,1621814292854.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,70,f,0,0,0,1,1621814292929.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,70,f,0,0,0,1,1621814292930.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,79,o,0,0,0,1,1621814293022.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,79,o,0,0,0,1,1621814293023.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,88,x,0,0,0,1,1621814293136.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,88,x,0,0,0,1,1621814293138.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,32, ,0,0,0,1,1621814293286.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,32, ,0,0,0,1,1621814293289.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,74,j,0,0,0,1,1621814293403.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,74,j,0,0,0,1,1621814293404.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,85,u,0,0,0,1,1621814293493.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,85,u,0,0,0,1,1621814293494.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,77,m,0,0,0,1,1621814293588.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,77,m,0,0,0,1,1621814293589.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,80,p,0,0,0,1,1621814293678.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,80,p,0,0,0,1,1621814293679.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,69,e,0,0,0,1,1621814293788.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,69,e,0,0,0,1,1621814293791.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,68,d,0,0,0,1,1621814293939.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,68,d,0,0,0,1,1621814293942.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,32, ,0,0,0,1,1621814294093.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,32, ,0,0,0,1,1621814294096.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,79,o,0,0,0,1,1621814294231.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,79,o,0,0,0,1,1621814294234.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,86,v,0,0,0,1,1621814294318.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,86,v,0,0,0,1,1621814294319.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,69,e,0,0,0,1,1621814294446.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,69,e,0,0,0,1,1621814294448.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,82,r,0,0,0,1,1621814294571.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,82,r,0,0,0,1,1621814294574.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,32, ,0,0,0,1,1621814294683.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,32, ,0,0,0,1,1621814294686.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,84,t,0,0,0,1,1621814294815.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,84,t,0,0,0,1,1621814294818.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,72,h,0,0,0,1,1621814294898.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,72,h,0,0,0,1,1621814294899.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,69,e,0,0,0,1,1621814295021.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,69,e,0,0,0,1,1621814295022.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,32, ,0,0,0,1,1621814295149.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,32, ,0,0,0,1,1621814295150.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,76,l,0,0,0,1,1621814295261.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,76,l,0,0,0,1,1621814295262.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,65,a,0,0,0,1,1621814295396.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,65,a,0,0,0,1,1621814295398.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,90,z,0,0,0,1,1621814295469.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,90,z,0,0,0,1,1621814295470.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,89,y,0,0,0,1,1621814295578.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,89,y,0,0,0,1,1621814295579.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,32, ,0,0,0,1,1621814295687.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,32, ,0,0,0,1,1621814295688.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,68,d,0,0,0,1,1621814295815.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,68,d,0,0,0,1,1621814295819.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,79,o,0,0,0,1,1621814295912.00
