"uuid","key_event","key_code","key_char","alt_key","ctrl_key","shift_key","is_bot","timestamp"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","16","Shift","0","0","1","0","1621639356958"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","84","T","0","0","1","0","1621639357107"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","16","Shift","0","0","0","0","1621639357199"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","84","t","0","0","0","0","1621639357282"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","72","h","0","0","0","0","1621639357315"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","69","e","0","0","0","0","1621639357480"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","72","h","0","0","0","0","1621639357488"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","69","e","0","0","0","0","1621639357646"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","32"," ","0","0","0","0","1621639357761"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","32"," ","0","0","0","0","1621639357946"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","81","q","0","0","0","0","1621639358184"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","85","u","0","0","0","0","1621639358323"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","81","q","0","0","0","0","1621639358334"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","73","i","0","0","0","0","1621639358426"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","85","u","0","0","0","0","1621639358539"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","67","c","0","0","0","0","1621639358580"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","73","i","0","0","0","0","1621639358586"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","75","k","0","0","0","0","1621639358736"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","67","c","0","0","0","0","1621639358744"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","75","k","0","0","0","0","1621639358886"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","32"," ","0","0","0","0","1621639359509"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","66","b","0","0","0","0","1621639359655"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","32"," ","0","0","0","0","1621639359685"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","66","b","0","0","0","0","1621639359777"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","82","r","0","0","0","0","1621639359989"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","79","o","0","0","0","0","1621639360088"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","82","r","0","0","0","0","1621639360143"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","87","w","0","0","0","0","1621639360183"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","79","o","0","0","0","0","1621639360243"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","87","w","0","0","0","0","1621639360375"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","78","n","0","0","0","0","1621639360404"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","32"," ","0","0","0","0","1621639360564"
"1033570f-0efe-4748-a92e-f5670ad5be71","keyup","78","n","0","0","0","0","1621639360575"
"1033570f-0efe-4748-a92e-f5670ad5be71","keydown","70","f","0","0","0","0","1621639360678"
